sentence,sentiment
এটা নতুন কিছু নয় জুতার মালা এবং পচা ডিমের হাত থেকে বাঁচতে এই নাটক মঞ্চস্থ হয়েছে সেটা যারা সচেতন তারা আগেই জানতো যতসব ফালতু,0
এটা তাদের একান্ত নিজস্ব ব্যাপার তারপপরও যারা মানব সভ্যতা ধ্বংস করার লিলায় ব্যস্ত ছিল তাদের নামে নাম না রাখায় ভালসেটা যেই ধর্মের লোকই হোক,0
অন্যরকম এক ভালোলাগা কাজ করছে সত্যিই অনেক বেশি ভালো লাগছেএই অনুভূতি বোঝানোর মত নাবার্সেলোনা কে ধন্যবাদ,1
নিষেধাজ্ঞার আওতায় আসতে পারে আরও মুসলিম দেশ,0
এতো ইমোশনাল গান এক্কেবারে বুকের মাঝখানে গিয়ে লাগছে,0
বিএনপিকে স্যালুট হরতাল না দেওয়ার জন্য,1
আমরা মাশরাফিকে ও এই রকম দেখতে চাই,1
প্রত্যাহার হয় নাই,0
রাষ্ট্র বনাম চালক জামির হোসেনের মামলার পৃষ্ঠার রায়ের কোথাও মালিকপক্ষের কোনো ফৌজদারি দায়ের কথা বলা নেই এমনকি মালিকের নামটি পর্যন্ত রায়ে মুদ্রিত হয়নি অথচ দুর্ঘটনাকবলিত গাড়িটির যেসব ত্রুটি চিহ্নিত করে চালককে দোষী সাব্যস্ত করা হয়েছে তাতে দুর্ঘটনা সংঘটন ছাড়া আর সব কটি অপরাধের ফৌজদারি দায় প্রত্যক্ষ বা পরোক্ষভাবে মালিকপক্ষের ওপর বর্তায়,0
প্রচন্ড সম্মানিত বোধ করছি,1
নোবেল পুরস্কার এই সব নায়কেরাই পায় আমার সক্ষমতা থাকলে সবকটি বিভাগের নোবেল এই সব নায়কদের শান্তির জন্য দিয়ে দিতাম এই দেশে অলিতে গলিতে লুকিয়ে থাকা অবহেলাঅনাদরে থাকা হাজার ও নায়কেরা নিজ কর্ম দিয়ে নায়ক হয়েছে আর তখন পুঁজিবাদী শক্তি দেশের মোট সম্পদপের বৃহৎ অংশ কুড়ে কুড়ে খাচ্ছে ঠিক শরৎ বাবুর জোক গল্পের মত ট্যাস্ক ফাকি দিয়ে ব্যাংক থেকে ভুয়া লোন নিয়ে হাজার কোটি টাকা ফাকি দিয়ে গরীব কে গরীব ধনী কে ধনী করে তুলছে আমরা এমন একজন নায়ক চাই বঙ্গবন্ধুর মতন যারা এই অপসংস্কৃতি দুর করে এই দেশটাকে এই নায়কদের বিজয় মালা পরাবেজয় হোক বাংলার প্রকৃত প্রেমিকদের,1
মুস্তাফিজের হাত ধরে পদক নেয়া শুরু আগামিতে আরো পদক আসবে ইনশাআল্লাহ আমরা এখন ইয়াং টাইগার গর্বিত আমরা বাংলাদেশ ভালো বাসি বাংলাদেশ,1
মমিনুলের বিতর্কিত আউট টা ম্যাচের সৌন্দর্য নষ্ট করেছে,0
ভারতের লাখ লাখ লোক যেখানে দুই বেলা ভাত খেতে পারে নাটাকার অভাবে লাশ নিজের কাধে করে বাড়িতে নিতে হয় টাকার অভাবে নিজ সন্তানকে বিক্রি করে দেয় সেখানে বিবাহে এত টাকা খরচ না করে এই সমস্যার সমাধান করা জরুরি,0
অনেক ঝামেলা হতে পারে,1
এদেরকে দেখে নিজেকে খুব ছোট মনে হচ্চেধন্যবাদ প্রথমআলো আমাকে আমরাতে পরিবতন করার জন্য,1
নাম তৈমুর দিকলাদেন দিকআল বাগদাদি দিকহাফিজ সইদ দিক কিন্তু নিরিহ ভারতীয় নাগরিকের ক্ষতির চেষ্টা বুরান ওয়ানির নামটাও মনে রাখুকফল একই হবে,0
অামার মন‌ে হয় রাজ্জাকক‌ে নেয়া জরুরী,0
ভালোবাসার আবেগঅনুভূতি নিয়ে ღ হৃদয়ের নাবলা কথা ღ পেজটি সাজানোএকবার ღ হৃদয়ের নাবলা কথা ღ পেজটিতে ঘুরে আসুনআশাকরি ভালো লাগবে,1
প্রথম আলো পত্রিকা অনেক ধন্যবাদ বাংলাদেশের হিরো দের কে মূল্যায়ন করার জন্য,1
আমরা গর্বিত সত্যি বাংলাদেশী হিসাবে মোস্তাফিজের এই সম্মামনায় আমরা গর্বিত ইনশাআল্লাহ্ এ সম্মান ধরে রাখবে,1
দেখে নিন চিরায়ত বাংলার রূপ বাংলাদেশের আপামর মানুষের অনন্যসাধারণ কিছু জীবনধারণ তুলে এনেছেন তারা,1
সিম নিবন্ধনে হাতের ছাপ নিয়া কি বাল ফালাইছো পারলে চিটাগাংয়ের এসপির স্ত্রীদের হত্যাকারীদের খুঁজতে সহায়তা কর আগে,0
মুদ্রাস্ফীতি বাড়ছে,0
এই টাকা গুলো বাংলার জনগণ কে দিয়ে দিক,1
ভাই ঈদের চেয়ে খুশি হতে পারে না কোন কিছু,0
কত কথা বলে রে,1
ভাই চখের পানি ধরে রাখতে পারিনি স্যালুট তোমাদের,1
ভিডিও দেখছি আর কান্না করেছি সত্যিই তো স্রোতের টানে গা ভাসিয়ে বেড়াচ্ছি আমি এই সমাজের জন্য কি করতে পেরেছি যা করি নিজ এবং পরিবারের জন্য আর যেটা বেশি ভাল পারি নিজেকে সব জায়গায় শো অন করতে আসলে আমরা প্রায় সবাই নিজেকে নিয়ে খুব ব্যস্ত হয়ে পড়েছি ধন্যবাদ প্রথম আলো বস কে ধন্যবাদ দিয়ে ছোট করবো না আজ থেকে শপথ করলাম প্রতিদিন অনেক ছোট হলেও মানুষের উপকার করবো সমাজের উন্নয়নে কিছু করার চেষ্টা করবো সেটা যদি রাস্তার একটা ইটের কণা সরিয়ে যদি কারো উপকারে আসে তাই করবো আমি শপথ করেছি জানি না কন্টিনিউ করতে পারবো নাকি তবে মনের সদিচ্চায় হলি সবকিছু সবাই দোয়া করবেন যেন সমাজ আর মানুষের উপকারে আসি ইনশাআল্লাহ ভালো কাজে আল্লাহ্‌ পাশে থাকেন,1
যারা মানুষকে ভালোবাসে তারা যেন আল্লাহকে ভালোবাসে আর এই সকল মানুষের জন্যই দুনিয়াটা এত সুন্দর এবং দুনিয়ার জন্য এত মায়া হয়,1
আমার মনে হয় এখন সময় এসেছে বাংলাদেশের বাহিরে গিয়ে লেখা পড়া করা যে টাকা ব্যায় করে দেশে লেখা পড়া করবে এর চেয়ে অনেক কম খরচে বিদেশে লেখাপড়া করা সম্ভব এইদেশ থেকে আর ভাল কিছু আশা করা যায়না,0
এই জয় আমাদের বাঙালিদের কাছে গর্বের বাংলাদেশ আর আমরা একই ভাষায় কথা বলি পাশাপাশি থাকি এই গর্ব শুধু বাংলাদেশের নয় আমাদেরও,1
গতবার অবিশ্বাস্য জাদুতে যে দলকে চ্যাম্পিয়ন বানিয়ে দিয়েছিলেন সেই কুমিল্লা এবারের বিপিএলে ঢাকা পর্বের প্রথম পাট চু​কিয়ে দিল একেবারে জয়ের মুখ না দেখে আজ নিঃসঙ্গ এক লড়াইয়ে যেন মাশরাফি একাই লড়লেন,0
মনটা খুব খারাপ ছিল পোষ্ট টা পড়ে ভালো লাগলো,1
আমিও পাইতেছি না ভ্যাট টা নির্বাচনের সময় দিলোনা ক্যা ভইরা ভ্যাট দিত সবাই,1
বেহায়াপনা বিজ্ঞাপন আর খবরের ব্রেকিং বিরক্তিকর ও হলুদ সাংবাদিকতা তাই গত বছর থেকে খুব কম দেখি মাস থেকে ডিস লাইন বন্ধ রেখেছি,0
শাপ পুষলে ছোবোল খাবার লোক না পেলে মালিক কেই ছোবোল খেতে হয়,1
বন্ধু একদম ঠিক,1
এবার তাসকী‌নের প্রস্তুত হওয়া উচিত ভারত‌কে বাঁশ দেওয়ার জন্য,0
হে আল্লাহ তুমি দুষ্কৃতিকারীদের বিচার কর,0
এই হল মাটির মানুষ,0
সত্যিই অনেক সুন্দর ছবি,1
বিডিতে হাজার হাজার জাফর জিন্নাহ্ আছে কে বলছে রাখা হয়না হেদুরা আসলেই রাম ছাগল সিবাজি তো বাংলার কষ্টের নাম ছিলো এখন হেদুদের জাতীয় বীর কি করে মানিস এগুলা,0
মুসা কি কোন রাজনৈতিক নেতার আত্নীয় হন,0
কিন্তু কিচু নিম্ন বংশের অশিক্ষিত লোকের কাছে এইসব ভাল লাগেনা কারন ওদের নেতারা একজন মন্ত্রী হয়েও কিভাবে সাধারন মানুষের সাথে মিশা যায় সেই ভদ্রতা শিখাইনী,0
ধর্ষণের সেরা দেশের মধ্যে একটিও ইসলামিক দেশ নেই,1
সাত খুন মামলার রায় সর্বকালের সর্বোচ্চ সাজার একটি চাঞ্চল্যকর এ মামলার প্রত্যাশিত রায় হয়েছে এখন এ মামলার রায় ও জুডিশিয়াল রেকর্ড উচ্চ আদালতে পাঠানো হয়েছে ডেথ রেফারেন্সে শুনানি হবে রাষ্ট্রপক্ষ আশা করছে নিম্ন আদালতের রায় হাইকোর্টেও বহাল থাকবে,0
এই দিন শুধু আনুষ্ঠানিকতার মধ্যে না থেকে এই দিনেই মন্ত্রী এম পিদের নতুন করে শপথ পাঠ করানো উচিত ক্ষমতায় থেকে যেন দেশটার বারোটা না বাজায়,0
নেইমার এই সিজ্যনে চ্যাম্পিয়নস লীগে মোট টি এসিস্ট করেছে যা এক সিজ্যনে কোন প্লেয়ারের করা সর্বোচ্চ,0
আমার ভাই তোমার ভাইমেসি ভাই মেসি ভাই মেসি ভাইয়ের কিচ্ছু হলে জ্বলবে আগুন ঘরে ঘরে মেসিভাইয়ের জন্যবার্সেলোনা ধন্য,1
নিকৃষ্ট এবং নৃশংষতার আরেকটি চিত্র,1
সত্যি কথা বলতে বাংলাদেশের ম্যাচ জিতার মতো খেলে নাই ভাগ্য জোরে জিতেছে আশা করি পরের ম্যাচে আরো খুব বেশী ভালো খেলবে আফগানিস্তানের ভাগ্য খারাপ ছিল,0
বুকের ভিতরে কতকত ইচ্ছা বিনাবিচারে হাজত খাটেরাষ্ট্র কী জানে,0
ইউনানী হার বাল চিকিৎসা দরকার এক ফাইলই যথেষ্ট আর সেটা বরখাস্ত এই মন্ত্রী দিয়ে দেশ চালালে এই দেশ মূর্খ রাষ্ট্রে পরিনত হবে কারন দিয়ে তো আর লেখাপড়া হয়না,0
আপনাকে অনেক অনেক শুভেচ্ছাআপনি আমাদের গর্ব,1
এরা দালাল দেশের গার্মেন্টস খাত ধ্বংস করতে ষড়যন্ত্রে লিপ্ত এরা,0
এমন একটি রোমাঞ্চকর অভিজ্ঞতা অর্জনের সুযোগ করিয়ে দেওয়ার জন্য উই ফোন কর্তৃপক্ষকে ধন্যবাদ প্রতিটি মুহূর্ত খুবই উপভোগ করেছি,1
আমাদের দেশতো তাই এতো উন্নত,0
বাংলাদেশ বলে কথাই নাই,0
কাল টাকার পাহার গর‌তে গর‌তে জো‌ক্তিকঅ‌জো‌ক্তিক‌বৈধঅ‌বৈধ‌কোন‌কিছুই পাগ‌লের মাথায় আসেনাযেজা‌তি জত সি‌খ্যিত সেজা‌তি তত উন্নতজা‌তি‌ সি‌খ্যিতহ‌ লে তা‌দের অপক‌র্মের দাৎভাঙা জবাব‌ দি‌বেতাই তি‌নি তা চাননা,0
একজন মানুষের এতো টাকা লাগেনা বেচে থাকতে আপনারাই বলেন উনি কোন কাতারে পরে,0
যারা করেছে এই কাজ তারা হলো জারজখানকির পোলাগো কুত্তায় জন্ম না দিলে গরীব মানুষের পেটে লাথি মারতে পারতোনা,0
বাংলাদেশের এক বছরের খরচ চলবে এই পরিমান টাকায়,1
খালেদা জিয়া কি বাংলাদেশের একমাত্র জনগণ যার পেছনে সরকার এত শ্রম দিচ্ছে আরে হালিম ভাই আমাদের নিয়ে একটুও ভাবুন,1
আপনার কি চুলকানি আছে খালেদা কি আপনা সতিন লাগে,0
ভারতের বস্তা পচা সংসার ভাংগার নাটরের চাইতে শতগুনে ভালো অনুষ্ঠান সিন্দবাদ,1
বেসরকারি বিশ্ববিদ্যালয় শিক্ষা নিয়ে ব্যবসা করবে দেশের উন্নয়নের স্বার্থে ভ্যাট দিবে নাএটা কেমনে হবেএকজন ছাত্র অর্নাস বা মার্ষ্টাস করে বের হতে চার থেকে পাঁচ লক্ষ টাকা বেসরকারি বিশ্ববিদ্যালয়কে দিতে হয় আবার এমবিবিএস র্কোস শেষ করতে দশ থেকে পনের লক্ষ টাকা দিতে হয়যদি সরকার ভ্যাট বন্ধ করে তাহলে শিক্ষা নিয়ে যারা ব্যবসা করে তাদের লাভ হয়েছেআমি মনে করি ছাত্রদের কোন লাভ হয়নিআড়ালে বেসরকারি বিশ্ববিদ্যালয় কতৃপক্ষ ছাত্রছাত্রীদের ব্যবহার করেছেআমার মতে বেসরকারি বিশ্ববিদ্যালয় অবশ্যই ভ্যাট দিবে তবে সেই টাকা ছাত্রছাত্রীদের পকেট থেকে নয়,0
দয়া করে পড়ুন ভাই বিপিএল শেষ হবার সাথে সাথেই বাংলাদেশ দল উড়াল দিবে অস্ট্রেলিয়াতে ক্যাম্পেইন করার জন্য সেখান থেকে সোজা নিউজ িল্যান্ড প্রতিবাদ কি হবেনা নাসির নাফিস আলামিনরুবেলদের জন্যনাকি বিসিবির লীলাখেলাই দেখতে হবেআনকোরা সাধারণ মানের বোলার রাব্বি ফর্মহীণ সৌম্য সর্বকালের ফালতু অলরাউন্ডারহোমাগত ডোম ব্যাটে বল লাগাইতে না পারা ঘরোয়া লিগের সেরা পারফর্মার ব্যাটসম্যান নুরুল হাসান সোহান আর এক আনকোরা নতুন বোলার শুভাশিষ এদের খেলার যে অবস্থা দেখতেছি বিপিএলেই নিউজিল্যান্ডের বাউন্সি উইকেটে তো এরা নিশ্চিত হাগু করে দিবে এদের চাইতে কি নাসির নাফিস রুবেল আলামিনরা হাজার গুণে ভাল নয়জেগে উঠুন ভাইয়েরা বিসিবি যেন নতুন করে টিম গঠন করতে বাধ্য হয় এই প্রতিবাদ গড়ে তুলি যা করার বিপিএল শেষ হবার আগেই করতে হবে তাছাড়া কোন লাভ নাই,0
প্রথমবার ভারতের চেন্নাইতে পরীক্ষা না দিয়ে অস্ট্রেলিয়াতে পাঠালে হয়ত তাসকিন সানিরা নিষিদ্ধ হতেন নাদেরিতে হলেও বিসিবির বোধোদয় হয়েছে এবং পরীক্ষাস্থল চেন্নাইয়ের বদলে অস্ট্রেলিয়াতে সরিয়ে এনেছে,0
এইটা ছেলেদের একটু বেশি করে করা দরকার কারন তারা বউকে পাইলে মাকে ভূলে জায়ত তাই,0
পারে সবাই বাংলাদেশির সাথে,1
এরা মানুষ নামের নরপিচাশ,0
এমনিতে শয়তানের কোনো জাত নাইতবে মুসলিমদের মধ‍্যে নৃসংস ভাবটা বেশি,1
ছেলেরা কই,0
তোমরা বি এন পি আওয়ামিলীগ দেশ টা কে শেষ করে ফেলেছ আমাদরকে বোঝাও ছাত্র রাও বেট দিতে হবে তোমরা ত মানুষ না আর বিশেষ করে অথমুন্তি জিবনের প্রথম ভোট উঠে ছিল তোমাদের কে দিয়ে ভুল করেছি,0
যদি এই বিবাহ তে গরীব লোক কে সাহায্য করতে অনেক ভাল হত,1
হবেনা,0
খুবি দুঃখজনকএর সাথে যারা জড়িত এসব পাষণ্ড গুলো নিজেকে মানুষ বলে পরিচয় দেবার যোগ্যতা রাখে বলে আমার মনে হয়না,0
কষ্টের উপার্জন না,0
তাহলে বাদ দিয়ে দাও একেবারে,1
কখনো কারো উপকার না করতে পাললে ও ক্ষতিকরা উচিত না,0
এত কথা বুঝি না মায়ের পায়ের নিচে শন্তানের বেহেস,0
দুই বছর কাজ করার পর এই র হাবিজাবি কাহিনী বুঝতে পারলাম না,0
অসাধারণ চোখের পানি ধরে রাখা সম্ভব হল নাধন্যবাদ মাশরাফি এবং প্রথম আলো কে,1
আপনার এত চুলকানি কেন তারানা হালিম,0
যত ঝামেলার মূল মালুরা,0
অামি গর্বিত যখন প্রিয় ক্লাব এর অফিসিয়াল পেইজে নিজ মাতৃভাষায় স্টেটাস দেখি,1
অসাধারণ ভিডিওটা দেখতে দেখতে চোখে পানি চলে আসলসবাইকে স্যালুট এবং প্রথম আলোকে ধন্যবাদ,1
এই আন্দোলনে সম্পৃক্ত সবাইকে অনেক অনেক ধন্যবাদ,1
মা কে হাজার বার চরন ধুয়ে দিবো তবে লোক দেখিয়ে না,0
প্রতিক্ষায় থাকলাম,1
হারামির বাচ্চারা মালুয়ান ইন্ডিয়ানরা আমাদের তাসকিন ও আরাফাত কে কী কষ্ট টা করাইছে,0
আর যাই হোক সবাই মুসা হতে পারবে না,1
সুন্দর হলেই সুন্দর বলেনা সুন্দর তাকেই বলে যার সুন্দর একটি মন রয়েছে,1
যেহেতু বার্মা সরকার রোহিঙ্গাদের অধিকার স্বীকার করে না তাই জাতিসংঘের মাধ্যমে গণভোট করে আরাকানকে বাংলাদেশের সাথে অন্তর্ভূক্ত করা হোক,0
অনলাইনে যারা ডাটা এন্ট্রির কাজ করতে আগ্রহী এবং টাকা ইনকাম করতে চান তাদের জন্য সুখবর অনলাইনে যারা ডাটা এন্ট্রির কাজ করে টাকা আয় করতে চান তারা নিচের ঠিকানায় যোগাযোগ করুন,1
গানটা প্রতেক দিনই একবার হলেও শুনি,1
লন্ডনের এক টেইলার্স শুধু মূসার সুটই তৈরি করে সে যে জামা জুতা একবার পেরে সেটা আর পেরে না,0
শিক্ষা খাতের উন্নয়নের জন্য রাস্তা বন্ধ সাময়িক অসুবিধার জন্য আমরা দুঃখিত শিক্ষা কি পণ্যভ্যাট কি জন্য,0
তোমাদের হাজার হাজার সালাম,1
ম্যাচ থ্রেডে আপত্তিকর মন্তব্য করা থেকে বিরত থাকুন গর্ত শব্দটা গ্রুপে সম্পূর্ণ নিষিদ্ধ কেউ এটা ব্যবহার করলে তাকে সরাসরি ব্যান করা হবে,0
আমি বাংলাদেশি বার্সা ফ্যান হইয়া নিজেকে অনেক গর্ববোধ করি যে আমি বিশ্ব সেরা ক্লাবের কিউলস,1
সানির জন্য একটু কষ্ট হচ্ছে,0
সুন্দর বলেছেন,1
কিছুদিন যাবৎ দেখছি বাংলাদেশিরা বলে দাবী করছে যৌক্তিকতা কোথায়যে তাসকিন আহমেদের বল খেলতে ভারতীয় দের খুব টা অসুবিধা হয় না যে বাংলাদেশকে এশিয়াকাপে বাংলাদেশের মাটিতে ভারত দু দু বার করে হারালো সেই বাংলাদেশকে ভারত কোন দিক দিয়ে ভয় পাবেভারতে যেখানে বিশ্বকাপ খেলা হচ্ছেযেখানে ভারতীয় সমর্থক দের সমর্থন রয়েছে এমনকি ভারতীয় পিচ ফাস্টবল সহায়ক নয়ভারতীয় পিচে ফাস্ট বোলাররা সুবিধা পায় না সেখানে তাসকিন কে ভারত ষড়যন্ত্র করে সরাতে যাবে কেনপরিসংখ্যান বলছে ভারত বারো নিউজিল্যান্ড এর বিরুদ্ধে জিততে পারেনি ফরম্যাটে ষড়যন্ত্র করার হলে নিউজিল্যান্ড এর ক্রিকেটার দের বিরুদ্ধে করতে পারতকিন্ত করেনি বাংলাদেশ টেস্ট স্ট্যাটাস পায় ভারতের জন্যইবাংলাদেশে এশিয়া কাপ আয়োজন করতে পারে ভারতের জন্যই তাই বলি কথা গুলি বলার আগে হিসাব করে বলবেন দয়া করে,0
কি দরকার পাহাড়ে ওঠারকি দরকার গাছে ওঠারএটায় দেশের কোনো উপকার হবে না এর চেয়ে বড় উপকার হবে যদি দেশের একটা স্কুলে বিনা বেতনে শিক্ষকতা করে,0
ভালো ছিল এখন খুব খারাপ,0
বাংলায় পোস্টতাও প্রিয় টিমের পেইজেএর থেকে ভালো লাগা আর কি হতে পারে,1
কি কয়,0
বৈধ সরকারের অবৈধ ইস্ফিকার কি আর বলবে,0
চেষ্টা করলে হয়ত সবই সম্ভব,0
আলহামদুল্লিলাসেই সাথে রেন্ডিয়াকে ধিক্ষার জানাইসবার উচিৎ রেন্ডিয়াকে বয়কট করা,0
সবাই মিলে এখন ইয়াবা খাও আর ডিজে পার্টি কর,1
মানুষের পায়ে হাত দিয়ে সেবা করাটা ইসলামে আছে কিনা সেটা আগে দেখতে হবেধন্যবাদ,1
সত্যি মাশরাফি অসাধারণ একজন মানুষযতই বলি কম বলা হবে এরাই আমাদের আসল নায়ক সেলুট মাশরাফী বাই,1
পারলে গাইড বই আর কোচিং সেন্টার বন্ধ করুন,1
আমি শিওর যদি এই পরীক্ষা ভারতে হতো তাহলে আবার এই দুজনকে অবৈধ ঘোষণা করতো,0
দুষ্টু গরুর চেয়ে শূন্য গোয়াল ভালো,1
ইন্ডিয়ার হারার ভয়ে চক্রান্ত করেছে,0
এরকম উৎসাহিত করবেন ডিপ্রেশন খোলস থেকে বেরিয় আসতে পারব,0
পাকিস্তানে এত জঙ্গি থাকে কি করেআজব চিন্তা,0
নিষেধাজ্ঞার উদ্দেশ্য় সফল অনেকের বিরুদ্ধেই এমন অভিযোগ আসতে পারে অর্থাৎ জেনে শুনেই নিষেধাজ্ঞা প্রয়োজন মিটলেই প্রত্য়াহার,0
বাংলাদেশের উত্তর প্রান্তের তেতুলিয়ার মহানন্দা নদীর বরফসম পানি ও প্রকৃতির অপরূপ দৃশ্য,1
লাভ উ ভাই,1
আজকাল স্বল্প প্রশিক্ষন আর অভিজ্ঞতা নিয়েই হিমলায় শৃঙ্গ জয় করতে বেরিয়ে পড়ছেন অনেকে,1
বিচার চাই,0
রেফারি ব্যান হয়ে এখন ভালো বোধ করছে আর বার্সা লা করুনার সাথে সোদন খাইছে,0
মেসিই সেরা,1
নমনীয় ও অনমনীয়তার কথা কেন আসছে ভ্যাট দেওয়া যাবে না,0
এইগুলা আসলে থার্ড ক্লাস কাজকর্ম মাঠে খেলে জিতুক এরকম ফালতু কাজ করার মানে বুঝি না,0
সংবাদের শিরনাম হওয়ার জন্যকার কেমন চরিত্র এটা দেশের মানুষ সবাই জানে,0
শুভ সকাল মায়াজাল,1
কর্মসুচীটি অনেক ভাল কিন্তু ইন্দোনেশিয়ার স্কুলের কর্মসুচী কপি করেছেন,1
এটা একবারেই মিথ্যা খবরনতুন আইফোন এক্সপ্লোড হয় নাই মাইক্রোওয়েভ দিয়ে ইচ্ছাক্রীত ভাবে করা হয়েছে প্রথম আলো দয়া করে নিউজ পোস্ট করার আগে অন্য যায়গার থেকে কপি পেষ্ট না করে খবরের সত্যতা একটু যাচাই করবেন দেশের একটি শীর্ষস্থানীয় দৈনিক হিসেবে জনগন আরো ভালো কিছু আশা করে অযথা মিথ্যা খবর পরিবেশন করে জনগনকে বোকা বানানোর কোনো মানে হয় না,0
তোমরা জিতবে আর তোমরা জিতলে জিতে যাবো আমরা পুরো বাংলাদেশ ভাইয়া তোমার পরিবারের প্রতি শুভ কামনা রইলো,1
জয় বাংলা জয় বঙ্গবন্ধু,1
ছেলেদের দিয়ে করানো উচিত মেয়েরা এমনিতেই করবে,0
জনগণ পায় চোখ রাঙ্গানি দমক আর অবহেলা সরকারী কোন অফিসে গেলে কারো সাথে কথাই বলা যায় না অথচ জনগনের টাকায় তাদের সংসার চলে,0
চলতি অর্থ বছরে বুঝলাম কিন্তু আগামী অর্থ বছরে দিবেন নাকি আবার কথায় প্যচ না রেখে বলুন কস্মিন কালের জন্য ভ্যাট প্রত্যাহার,0
জনাব ঘাদানিকওরফে মুরগি কবির আপিনার আসলে সমস্যাটা কিইসলাম মুসলমানদের একাত্বতা যেখানে সেখানেই আপনার চুল্কানি শুরু হয় আপনি আসলে কোন ক্যাটাগরির বুদ্ধিজীবী বুদ্ধিপ্রতিবন্ধি আপনি মুসলমানের দেশে কি কায়েম করতে চাচ্ছেন আমাদেরকে ক্লিয়ার করেন জামায়াত হেফাজতের বিরোধিতা আপনি করেন কোন আপত্ত্বি নেই কিন্তু ইসলাম আপনার কি বাশ দিলআপনার নামটা চেঞ্জ করে শ্রী মদন সাহা ওরফে মুরগি মদন রাখাই শ্রেয় তারপরে রেন্ডিয়া যেয়ে পশ্চাতদেশে তিলক লাগিয়ে ঠাকুরগিরি করেন,0
সিম নেবার এর পুরাতন সিম নতুনভাবে আপনি বাংলাদেশের যে কোন প্রান্তে থাকেন না কেন কোন সমস্যা নেই আমরা আছি আপনাদের নিকটে সিম নিতে হলে প্রয়োজনঃ ভোটার আই ডি কার্ড এবং পাসপোর্ট সাইজ ছবি কপি দাম টাকা অর্ডার দিতে কল করুন অথবা লিখে মেসেজ দিন বিস্তারিত জানতে ফোন করুন,0
রাজনৈতিক নেতাদের এমন আচরণই কাম্য তাদের উচিত জনগণের মাঝে আসা তাদের কথা শোনা যতটুকু পারা যায় তাদের সমস্যার সমাধান করা,1
শাহারিয়র কবির একজন অমানুষ অমুসলিম ছাএলিগ বায়েজীদ,1
কেন যে ইমরুল কায়েস নামক গাধা প্লেয়ার টারে নেয় না পারে ব্যাটিং না পারে বলিং না পারে ফিল্ডিং ওর চেয়ে কত ভালো ভালো প্লেয়ার পড়ে আাছে নির্বাচকরা ওদের চোখে দেখে না কেন,0
আমিন,1
একরকম জীবন যাপন করবো আর আরেক রকম কবিতা লিখবো তা আমার দ্বারা হবে না পয়েন্ট টা খুব ভালো লাগলো নতুন করে আপনাকে আবার চিনলাম,1
আমাদের দেশের জিডিপি থেকে ভাগ দুর্নীতির কারণে নষ্ট হচ্ছে,1
কিনলো তাতে কি,0
ইশ যদি বলটা নো না হতো দিন শেষে মেহেদী হাসান মিরাজের আক্ষেপ,1
সাকিবের উচিত ইংল্যান্ডের নাগরিকত্ব নিয়ে ইংল্যান্ড জাতীয় দলে খেলা এদেশের মানুষ তোরে কোনোদিনও মূল্যায়ন করতে পারবে না,0
সাদাসিধে গানের মধ্যেও এতো সৌন্দর্য অস্থির আসলেই অস্থির শুধু একটা দিলে গানটার প্রতি হবে না কারণ শুনলাম আর লাইক দিলাম এরকম কোন গান এটা না,1
বাচ্চাদের মত গানটা শুনতে শুনতে চোখে পানি চলে আসলো কোন সময় কান্না করা শুরু করলাম নিজেই বুঝলাম না আমার লাইফে শোনা সবচেয়ে ভালো গান এইটা,1
লিটনকে পাখির মতো গুলি করে হত্যা করা হয়েছে এটি একটি পরিকল্পিত হত্যাকাণ্ড একটি ছেলেকে গুলির ঘটনাকে কেন্দ্র করে বাংলাদেশের মিডিয়া উন্মাদ হয়ে গেছিল আমরা মিডিয়ার কাছে হেরে গিয়েছিলাম লিটনকে নিরস্ত্র করার কারণে তাঁর এই পরিণতি হয়েছে আমরা শত চেষ্টা করেও তাঁর বা তাঁর স্ত্রীর অস্ত্রটি ফেরত দেওয়ার ব্যবস্থা করতে পারিনি,0
তাসকিনের সাথে আমরা খুশি,0
যারা বাংলাদেশে অবস্থান করছে তাদের নিরাপত্তা নিশ্চিত করে কে নিয়ে দেয়াল না আর ও কিছু তুলুন,0
ব্যান্ড স্বর্গে ফিরে এসেছে কুয়েট স্বর্গে যাইতেছি অনেক বাধা বিপত্তি পেরিয়ে,1
হায়রে বিবিসি বাংলা আরেকটু স্পিডি হও পুরান খবর নতুন বলে আর কত চালাইবা,0
মর কুত্তার বাচ্চারা,0
চুক্তি হয়েছে ঠিকই কিন্তু আমরা কি আমাদের ন্যায্য অধিকার পাচ্ছি কখনই না,0
দিনে যত বার খালেদা খালেদা করেছেন তত বার আল্লাহর নাম ও নেন নিএই মুরগি হালিম,1
